tt,uu,x
0.0,(0.026950564442609112+0j),-5.0
0.007853981633974483,(0.028270116393807054+0.0014690327316345744j),-4.9609375
0.015707963267948967,(0.028827397017438416+0.002138668924203148j),-4.921875
0.023561944901923447,(0.029249254381397582+0.0026804621211698465j),-4.8828125
0.031415926535897934,(0.02960088492380808+0.0031567298086567636j),-4.84375
0.039269908169872414,(0.02990730812036313+0.0035913882573495592j),-4.8046875
0.047123889803846894,(0.030181298706808413+0.0039966479371831565j),-4.765625
0.05497787143782138,(0.030430423018952157+0.004379741791304653j),-4.7265625
0.06283185307179587,(0.030659596548320067+0.004745378330266059j),-4.6875
0.07068583470577035,(0.03087221558073361+0.005096829059846653j),-4.6484375
0.07853981633974483,(0.031070735375724245+0.005436467363695963j),-4.609375
0.08639379797371931,(0.031256999158307486+0.005766072015123913j),-4.5703125
0.09424777960769379,(0.03143241299096977+0.006087003577989691j),-4.53125
0.10210176124166828,(0.0315980177305466+0.006400264870326855j),-4.4921875
0.10995574287564276,(0.0317544443846669+0.00670633283975397j),-4.453125
0.11780972450961723,(0.03190194137856517+0.0070037192579649465j),-4.4140625
0.12566370614359174,(0.03205009092544975+0.007282903126655471j),-4.375
0.13351768777756623,(0.03223790790168124+0.00760939031492458j),-4.3359375
0.1413716694115407,(0.0323065523006828+0.007848078868405883j),-4.296875
0.14922565104551516,(0.03244089794171434+0.008128385370668623j),-4.2578125
0.15707963267948966,(0.03260382223447422+0.00847464659178887j),-4.21875
0.16493361431346415,(0.03265278921010584+0.00869007546521905j),-4.1796875
0.17278759594743862,(0.032739116899774934+0.00901267560076513j),-4.140625
0.18064157758141308,(0.03284352763900644+0.00928445821692514j),-4.1015625
0.18849555921538758,(0.032961493350509574+0.009505740732484003j),-4.0625
0.19634954084936207,(0.033142615823965604+0.009796046252585788j),-4.0234375
0.20420352248333656,(0.03314352279783361+0.010108734708316525j),-3.984375
0.21205750411731103,(0.03333185116094528+0.010321686143539677j),-3.9453125
0.21991148575128552,(0.03332251778437467+0.010558491189572417j),-3.90625
0.22776546738526002,(0.0334096598534569+0.010898820763419859j),-3.8671875
0.23561944901923446,(0.033550162149531215+0.011171055784757522j),-3.828125
0.24347343065320895,(0.033662621208082166+0.011410583657802897j),-3.7890625
0.25132741228718347,(0.0337495969541064+0.011668126811195556j),-3.75
0.25918139392115797,(0.03378822483792476+0.011953181263285817j),-3.7109375
0.26703537555513246,(0.033802623628021444+0.012162022735590639j),-3.671875
0.2748893571891069,(0.03383168520946367+0.012441265956429581j),-3.6328125
0.2827433388230814,(0.03391966377117983+0.012573212906882514j),-3.59375
0.2905973204570559,(0.03408482280210512+0.012782026758468734j),-3.5546875
0.2984513020910303,(0.034160402070390505+0.013169510203206336j),-3.515625
0.3063052837250048,(0.034031046198350734+0.013397325568282659j),-3.4765625
0.3141592653589793,(0.03420715580929712+0.013463055755447373j),-3.4375
0.32201324699295375,(0.034267554253282206+0.013928479137278238j),-3.3984375
0.3298672286269283,(0.03423588819920215+0.014004554837056205j),-3.359375
0.33772121026090274,(0.03441703926452344+0.014277703580079848j),-3.3203125
0.34557519189487723,(0.03424741495711692+0.014526370900305396j),-3.28125
0.3534291735288517,(0.0344834076059804+0.014752241482601569j),-3.2421875
0.36128315516282616,(0.034322506242840445+0.01499796584931401j),-3.203125
